,Data,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
15340,01/01/2003,0.0,30.6,20.7,4.5,2.1,23.94,86.75,1.2
15341,02/01/2003,46.5,31.6,20.9,5.2,1.3,24.4,84.0,0.5
15342,03/01/2003,48.9,26.2,21.4,0.2,1.8,22.96,93.5,0.7
15343,04/01/2003,12.6,28.6,20.9,2.4,0.6,24.6,84.5,0.5
15344,05/01/2003,5.1,27.6,21.5,1.1,0.5,23.62,92.75,1.133333
15345,06/01/2003,3.6,30.4,21.5,5.6,2.0,24.94,84.25,1.7333330000000002
15346,07/01/2003,13.2,27.6,21.9,0.0,1.8,24.36,91.75,0.5
15347,08/01/2003,65.8,25.4,17.8,0.1,1.1,21.12,92.25,0.6
15348,09/01/2003,0.2,28.0,19.0,3.6,0.9,23.84,89.0,1.266667
15349,10/01/2003,0.0,33.6,20.7,9.0,1.4,25.7,76.5,1.533333
15350,11/01/2003,45.2,30.3,20.1,5.3,2.4,23.86,87.5,1.7666669999999998
15351,12/01/2003,16.8,30.6,20.3,5.5,1.7,24.62,82.25,1.466667
15352,13/01/2003,1.5,30.6,21.5,5.6,1.9,25.2,82.0,1.433333
15353,14/01/2003,5.0,30.0,21.3,2.1,2.0,24.84,79.5,1.7666669999999998
15354,15/01/2003,24.0,26.6,21.2,0.0,1.6,23.1,92.0,2.7
15355,16/01/2003,25.9,25.8,20.9,0.0,0.8,22.88,95.25,0.666667
15356,17/01/2003,26.0,24.8,19.2,1.4,0.6,21.56,95.0,0.533333
15357,18/01/2003,6.8,29.6,19.2,7.3,0.5,24.26,82.75,0.766667
15358,19/01/2003,35.8,26.6,19.5,1.2,2.0,22.86,88.0,1.6
15359,20/01/2003,12.6,28.1,19.6,3.6,0.9,23.28,83.75,1.7333330000000002
15360,21/01/2003,13.1,28.8,19.7,7.3,1.8,23.4,84.5,1.8666669999999999
15361,22/01/2003,1.7,29.0,21.3,3.7,2.0,24.88,78.0,2.9
15362,23/01/2003,0.7,30.0,21.5,12.4,2.6,25.12,73.0,1.533333
15363,24/01/2003,0.0,30.5,18.6,6.7,3.0,23.72,80.5,1.166667
15364,25/01/2003,0.0,30.4,18.8,7.5,2.2,24.72,75.5,1.466667
15365,26/01/2003,0.1,30.0,20.7,9.2,2.6,24.1,78.5,1.8
15366,27/01/2003,0.3,28.8,20.7,6.2,2.6,23.7,82.25,1.466667
15367,28/01/2003,0.0,28.0,21.1,2.6,2.5,24.28,81.75,1.266667
15368,29/01/2003,0.4,28.8,21.5,3.2,2.1,23.62,83.0,2.7
15369,30/01/2003,0.0,30.4,20.4,6.1,1.9,24.32,77.0,1.9666669999999997
15370,31/01/2003,0.1,30.4,21.6,12.3,3.3,24.92,69.5,2.2
15371,01/02/2003,0.0,29.4,21.3,7.3,4.1,24.46,75.0,3.066667
